Date,Site,Station_Depth_m,Sample_Depth_m,Sample_Depth_category,Arrival_Time,Departure_Time,Lat_deg,Long_deg,Wind_speed_ms-1,Sky,Secchi_Depth_m,Temp_C,SpCond_uScm-1,BeamAtten_m-1,Transmiss_pct,DO_mgL-1,PAR_uEcm-2s-1,Turbidity_NTU,Particulate_Microcystin_ugL-1,Dissolved_Microcystin_ugL-1,Extracted_PC_ugL-1,Extracted_CHLa_ugL-1,Total_cyanobacteria_genes_copiesmL-1,mycE_genes_copiesmL-1,DIC (uM),TALK,Date_Dec
4/28/25,WE2,5.6,0.75,S,12:45,12:59,41.76226667,-83.33005,4.1,Clear,1,14.24627647,365.6265294,6.282864706,22.02437647,,3177.123529,10.42,BDL,BDL,0.11,3.16,12336,BDL,2043.046667,2051.020606,2025.325
4/28/25,WE2,,4.6,B,,,,,,,,13.24764615,353.7570769,5.116053846,27.83525385,,17.88392308,,BDL,BDL,0.14,3.42,NS,NS,NS,NS,2025.325
4/28/25,WE4,8.9,0.75,S,9:26,,41.82651667,-83.19483333,3.6,Clear,2,11.452295,263.1685,4.250135,35.69376,,2253.4905,4.01,BDL,BDL,0.24,4.79,31048,BDL,1797.293333,1804.931606,2025.325
4/28/25,WE6,3.2,0.75,S,11:50,12:05,41.70605,-83.38416667,6.17,Clear,0.5,15.337525,509.1470833,12.21468333,4.875983333,,2551.958333,22.43,BDL,0.13,0.31,7.46,32381,BDL,2622.09,2669.682606,2025.325
4/28/25,WE8,5.4,0.75,S,8:35,8:57,41.83308333,-83.359,6.17,Clear,1.5,14.29124386,356.1816842,4.307245614,35.47699123,,992.4687719,5.29,BDL,0.1,0.89,9.02,87284,BDL,2086.7,2126.554606,2025.325
4/28/25,WE8,,4.4,B,,,,,,,,14.42239286,355.8582143,4.406635714,33.23815,,13.99271429,,BDL,BDL,0.71,7.24,NS,NS,NS,NS,2025.325
4/28/25,WE9,2.8,0.75,S,12:15,12:27,41.71761667,-83.42336667,5.14,Clear,0.5,16.76828,619.872,12.85666,4.117346667,,3168.413333,15.55,0.11,0.12,8.69,50.64,301954,BDL,3117.928333,3280.221106,2025.325
4/28/25,WE12,6.9,0.75,S,11:11,11:27,41.7018,-83.25073333,3.09,Clear,0.5,13.16780667,355.0400667,16.29133333,1.71634,,2705.113333,39,BDL,0.12,0.47,3.39,5360,BDL,2015.86,2027.312106,2025.325
4/28/25,WE12,,5.9,B,,,,,,,,12.23522667,341.2406667,12.58756,4.350973333,,5.77E-05,,BDL,BDL,0.28,3.33,NS,NS,NS,NS,2025.325
4/28/25,WE13,9.3,0.75,S,10:00,10:18,41.74361667,-83.13655,4.12,Clear,1.5,11.4331142,286.771537,5.873881481,23.33516111,,1740.444444,7.55,BDL,0.12,0.63,10.19,32839,BDL,1843.546667,1871.591106,2025.325
4/28/25,WE13,,8.3,B,,,,,,,,10.75076667,280.7034667,4.960333333,28.93848667,,1.41804,,BDL,BDL,0.17,6.27,NS,NS,NS,NS,2025.325
4/28/25,WE16,6.3,0.75,S,10:40,10:53,41.6589,-83.14385,5.66,Clear,,12.55826912,205.5817059,7.728654412,16.49511324,,3420.502941,11.12,BDL,0.11,0.15,1.14,2988,BDL,1869.543333,1858.481106,2025.325
5/19/25,WE2,5.8,0.75,S,12:38,12:58,41.76265,-83.32978333,3.09,Cloudy,,16.98676269,428.6984254,8.540601493,12.05390672,10.23081493,824.6731343,21.1,BDL,0.18,0.32,5.89,22256,BDL,2284.16,2329.195076,2025.383333
5/19/25,WE2,,4.8,B,,,,,,,,17.50815,424.2525,5.725225,24.018125,6.7126,0.005643898,,BDL,0.16,0.16,4.4,NS,NS,NS,NS,2025.383333
5/19/25,WE4,8.8,0.75,S,9:05,9:20,41.82666667,-83.19443333,5.14,Cloudy,,15.51297568,254.6844595,2.34072027,56.12296554,8.369750676,328.7794595,5.29,BDL,0.11,0.24,4.5,7127,BDL,1817.615,1815.564576,2025.383333
5/19/25,WE6,3.3,0.75,S,11:35,11:49,41.70583333,-83.38435,3.09,Cloudy,,17.24757952,479.4036857,11.82537952,5.207592381,11.08942429,13.43921838,28.25,BDL,0.2,1.01,22.6,78567,BDL,2425.351667,2486.867576,2025.383333
5/19/25,WE8,5.3,0.75,S,8:15,8:38,41.83405,-83.35855,4.12,Cloudy,,18.06312269,389.1865042,2.276694958,56.6470958,6.946257143,50.79752101,5.95,BDL,0.11,0.17,3.3,15445,BDL,2278.416667,2279.831576,2025.383333
5/19/25,WE8,,4.3,B,,,,,,,,18.1023,391.88925,2.2292375,57.2751,6.4165125,1.173864375,,BDL,0.13,0.16,3.35,NS,NS,NS,NS,2025.383333
5/19/25,WE9,3,0.75,S,11:58,12:18,41.71768333,-83.42295,4.12,Cloudy,,17.45737872,454.0209078,33.90613475,0.028440426,10.30143333,32.59587305,77.11,BDL,0.12,0.67,75.62,20785,BDL,2631.066667,2614.497076,2025.383333
5/19/25,WE12,6.9,0.75,S,10:53,11:12,41.7033,-83.25241667,4.63,Cloudy,,16.49485063,378.3762688,6.983885,17.500215,9.87721625,156.8302063,16.94,BDL,BDL,0.2,11.05,91536,BDL,2126.731667,2146.023076,2025.383333
5/19/25,WE12,,5.9,B,,,,,,,,17.15955,380.181,7.32055,16.04335,7.4189,7.57E-05,,BDL,0.11,0.28,10.93,NS,NS,NS,NS,2025.383333
5/19/25,WE13,9.3,0.75,S,9:41,9:59,41.74296667,-83.13681667,5.66,Clear,,15.53703025,306.2827059,4.194316807,36.06563193,10.51692773,201.2963866,7.68,BDL,BDL,0.79,11.07,54739,BDL,1913.886667,1942.051576,2025.383333
5/19/25,WE13,,8.3,B,,,,,,,,15.92450909,307.8799091,3.828027273,38.40420909,7.461372727,6.26E-05,,BDL,BDL,0.59,10.8,NS,NS,NS,NS,2025.383333
